Frame Number,Vehicle Make,Probability,Object ID
1,Audi S4 Sedan 2012,0.18110272,0
1,Mercedes-Benz 300-Class Convertible 1993,0.119274154,0
1,Bentley Arnage Sedan 2009,0.090855025,0
1,Mercedes-Benz C-Class Sedan 2012,0.06306522,0
1,Audi 100 Wagon 1994,0.049658526,0
1,AM General Hummer SUV 2000,0.042790692,0
1,Volkswagen Golf Hatchback 1991,0.03553868,0
1,Land Rover Range Rover SUV 2012,0.032367487,0
1,GMC Canyon Extended Cab 2012,0.028655324,0
1,Ford E-Series Wagon Van 2012,0.024200618,0
1,GMC Savana Van 2012,0.021603001,0
1,Audi R8 Coupe 2012,0.018635202,0
1,GMC Terrain SUV 2012,0.017621841,0
1,Audi S5 Coupe 2012,0.017157368,0
1,Jeep Wrangler SUV 2012,0.016064586,0
1,Audi TTS Coupe 2012,0.013921311,0
1,Rolls-Royce Phantom Drophead Coupe Convertible 2012,0.011577504,0
1,Spyker C8 Convertible 2009,0.010675507,0
1,Audi RS 4 Convertible 2008,0.009037161,0
1,Chevrolet Express Cargo Van 2007,0.008815253,0
1,Audi S6 Sedan 2011,0.008445348,0
1,Rolls-Royce Phantom Sedan 2012,0.008286567,0
1,Ferrari 458 Italia Coupe 2012,0.008264908,0
1,Ford F-150 Regular Cab 2012,0.00737349,0
1,Audi TT RS Coupe 2012,0.007021812,0
1,Ford Explorer 2018,0.00672738,0
1,Chevrolet Silverado 1500 Classic Extended Cab 2007,0.00657907,0
1,HUMMER H2 SUT Crew Cab 2009,0.0057205632,0
1,Hyundai Accent Sedan 2012,0.0050619366,0
1,Cadillac CTS-V Sedan 2012,0.0048651914,0
1,Chrysler Crossfire Convertible 2008,0.0045030564,0
1,Aston Martin V8 Vantage Convertible 2012,0.0043141902,0
1,Maybach Landaulet Convertible 2012,0.004261007,0
1,Chevrolet Silverado 1500 Extended Cab 2012,0.0041346396,0
1,Audi V8 Sedan 1994,0.0037184802,0
1,BMW 1 Series Convertible 2012,0.0036378999,0
1,Chevrolet Monte Carlo Coupe 2007,0.0036317348,0
1,Chevrolet Silverado 2500HD Regular Cab 2012,0.003613696,0
1,Mercedes-Benz E-Class Sedan 2012,0.0036050037,0
1,BMW 6 Series Convertible 2007,0.0034470013,0
1,Nissan NV Passenger Van 2012,0.003190706,0
1,Ford Ranger SuperCab 2011,0.0030384844,0
1,Honda Ridgeline 2016,0.0026907788,0
1,Lamborghini Aventador Coupe 2012,0.0024894811,0
1,Chrysler 300 SRT-8 2010,0.002356701,0
1,BMW 3 Series Sedan 2012,0.0022671435,0
1,Mercedes-Benz S-Class Sedan 2012,0.002096432,0
1,Audi 100 Sedan 1994,0.0020679,0
1,Ford F-450 Super Duty Crew Cab 2012,0.002028825,0
1,Dodge Ram Pickup 3500 Crew Cab 2010,0.0019284646,0
1,BMW M3 Coupe 2012,0.0017544107,0
1,Bentley Continental Flying Spur Sedan 2007,0.0017508087,0
1,Audi A5 Coupe 2012,0.0016008236,0
1,Jeep Liberty SUV 2012,0.001555278,0
1,Chevrolet Corvette ZR1 2012,0.0014885941,0
1,Rolls-Royce Ghost Sedan 2012,0.0014371151,0
1,HUMMER H3T Crew Cab 2010,0.0014219341,0
1,Ford Mustang Convertible 2007,0.0013280435,0
1,Chrysler PT Cruiser Convertible 2008,0.0013182899,0
1,Volkswagen Golf Hatchback 2012,0.0013118199,0
1,Honda CRV 2012,0.0013041025,0
1,Audi S5 Convertible 2012,0.0012852023,0
1,GMC Yukon 2004,0.0012608847,0
1,Jeep Compass SUV 2012,0.001258482,0
1,Spyker C8 Coupe 2009,0.0012417947,0
1,Volvo 240 Sedan 1993,0.001193785,0
1,Bentley Mulsanne Sedan 2011,0.0011428652,0
1,BMW 3 Series Wagon 2012,0.00108765,0
1,Hyundai Veloster Hatchback 2012,0.0010499984,0
1,Chrysler Aspen SUV 2009,0.0010306623,0
1,Plymouth Neon Coupe 1999,0.00094695226,0
1,Bentley Continental GT Coupe 2012,0.00094414287,0
1,Cadillac Escalade EXT Crew Cab 2007,0.00092265714,0
1,MINI Cooper Roadster Convertible 2012,0.00091069593,0
1,Fisker Karma Sedan 2012,0.0008723483,0
1,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.0008546504,0
1,Ferrari FF Coupe 2012,0.00085236353,0
1,Hyundai Santa Fe SUV 2012,0.0007828462,0
1,Daewoo Nubira Wagon 2002,0.0007228446,0
1,Acura Integra Type R 2001,0.00069461344,0
1,Acura ZDX Hatchback 2012,0.00065136695,0
1,Chrysler Sebring Convertible 2010,0.0006404705,0
1,BMW X5 SUV 2007,0.00063291495,0
1,Honda Accord Sedan 2012,0.00062525884,0
1,GMC Acadia SUV 2012,0.00061234744,0
1,Toyota 4Runner SUV 2012,0.0005612995,0
1,Tesla Model S Sedan 2012,0.0005441082,0
1,Ford Expedition 2017,0.000518104,0
1,Aston Martin V8 Vantage Coupe 2012,0.0005135336,0
1,Ford GT Coupe 2006,0.00049561984,0
1,Eagle Talon Hatchback 1998,0.00042500027,0
1,Bentley Continental Supersports Conv. Convertible 2012,0.00041806302,0
1,Subaru Legacy Sedan B4 2010,0.0004107873,0
1,Jeep Patriot SUV 2012,0.0004061314,0
1,smart fortwo Convertible 2012,0.00040302065,0
1,Dodge Magnum Wagon 2008,0.00038401558,0
1,Infiniti G Coupe IPL 2012,0.00037526034,0
1,Jeep Grand Cherokee SUV 2012,0.000373425,0
1,Buick Enclave SUV 2012,0.00035898096,0
1,GMC Yukon Hybrid SUV 2012,0.00035664655,0
1,BMW ActiveHybrid 5 Sedan 2012,0.00033020438,0
1,Nissan Leaf Hatchback 2012,0.00030144647,0
1,FIAT 500 Abarth 2012,0.0002994875,0
1,BMW M5 Sedan 2010,0.00029194244,0
1,Lamborghini Diablo Coupe 2001,0.00029172562,0
1,Chevrolet Corvette Ron Fellows Edition Z06 2007,0.00029090996,0
1,Suzuki Aerio Sedan 2007,0.00027499325,0
1,Infiniti QX56 SUV 2011,0.00027262096,0
1,Audi TT Hatchback 2011,0.00026644667,0
1,Audi S4 Sedan 2007,0.0002656847,0
1,Hyundai Tucson SUV 2012,0.00025389506,0
1,Geo Metro Convertible 1993,0.00025339797,0
1,Lamborghini Gallardo LP 570-4 Superleggera 2012,0.00024382016,0
1,Hyundai Sonata Sedan 2012,0.00023158186,0
1,Lamborghini Reventon Coupe 2008,0.00022625978,0
1,BMW X3 SUV 2012,0.00022226093,0
1,Chevrolet Silverado 1500 Regular Cab 2012,0.00021940477,0
1,Hyundai Veracruz SUV 2012,0.0002104261,0
1,BMW Z4 Convertible 2012,0.00019166066,0
1,Chevrolet Camaro Convertible 2012,0.00018219512,0
1,Chevrolet Malibu Sedan 2007,0.00017800598,0
1,Dodge Charger SRT-8 2009,0.00016906293,0
1,BMW X6 SUV 2012,0.0001676338,0
1,Acura TL Sedan 2012,0.00016756571,0
1,Dodge Dakota Club Cab 2007,0.00016433747,0
1,Chrysler Town and Country Minivan 2012,0.00016319596,0
1,Acura TSX Sedan 2012,0.00016318359,0
1,Hyundai Elantra Sedan 2007,0.00016037346,0
1,Ram C/V Cargo Van Minivan 2012,0.00015183513,0
1,Lincoln Town Car Sedan 2011,0.00015028741,0
1,Bentley Continental GT Coupe 2007,0.00014917624,0
1,Porsche Panamera Sedan 2012,0.00014815113,0
1,Toyota Corolla Sedan 2012,0.00014814612,0
1,Volvo XC90 SUV 2007,0.00014680138,0
1,Mercedes-Benz Sprinter Van 2012,0.00014664416,0
1,Hyundai Genesis Sedan 2012,0.0001397023,0
1,Buick Verano Sedan 2012,0.00013692021,0
1,Ford Focus Sedan 2007,0.00013574467,0
1,Mitsubishi Lancer Sedan 2012,0.00013288663,0
1,Hyundai Elantra Touring Hatchback 2012,0.00013055484,0
1,BMW M6 Convertible 2010,0.00012777279,0
1,Chevrolet Sonic Sedan 2012,0.00012355934,0
1,Ford F-150 Regular Cab 2007,0.00010536879,0
