Frame Number,Vehicle Make,Probability,Object ID
3,Ford Explorer 2018,0.42274743,0
3,Jeep Grand Cherokee SUV 2012,0.41476136,0
3,Chevrolet Avalanche Crew Cab 2012,0.080425866,0
3,Ford Edge SUV 2012,0.022095094,0
3,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.009276769,0
3,GMC Terrain SUV 2012,0.005600595,0
3,Toyota 4Runner SUV 2012,0.005450729,0
3,Isuzu Ascender SUV 2008,0.0052207466,0
3,Chevrolet Tahoe Hybrid SUV 2012,0.0035698991,0
3,Cadillac Escalade EXT Crew Cab 2007,0.003293599,0
3,Chevrolet Traverse SUV 2012,0.0032288819,0
3,Land Rover LR2 SUV 2012,0.002766984,0
3,Dodge Magnum Wagon 2008,0.0025176564,0
3,Cadillac SRX SUV 2012,0.0018077983,0
3,GMC Acadia SUV 2012,0.0016902802,0
3,Audi R8 Coupe 2012,0.0015072179,0
3,Acura TL Type-S 2008,0.0014757374,0
3,Ford Freestar Minivan 2007,0.000991111,0
3,Ford Fiesta Sedan 2012,0.0009470046,0
3,Chevrolet Camaro Convertible 2012,0.0008270281,0
3,MINI Cooper Roadster Convertible 2012,0.0005778991,0
3,Acura TSX Sedan 2012,0.0005253092,0
3,Dodge Sprinter Cargo Van 2009,0.0005155365,0
3,Honda Odyssey Minivan 2007,0.00045439985,0
3,Dodge Durango SUV 2012,0.00041641982,0
3,Dodge Charger SRT-8 2009,0.00041514976,0
3,Honda CRV 2012,0.00040481103,0
3,Honda Accord Coupe 2012,0.00038236342,0
3,Chevrolet Malibu Hybrid Sedan 2010,0.00036270625,0
3,Toyota Corolla Sedan 2012,0.0003191412,0
3,smart fortwo Convertible 2012,0.0003119212,0
3,Ford Mustang Convertible 2007,0.0003088095,0
3,Hyundai Elantra Touring Hatchback 2012,0.00028145383,0
3,Ferrari 458 Italia Coupe 2012,0.00026535828,0
3,HUMMER H2 SUT Crew Cab 2009,0.00024356939,0
3,Volkswagen Golf Hatchback 2012,0.0002357583,0
3,GMC Yukon Hybrid SUV 2012,0.00021746702,0
3,Ford Expedition 2017,0.00021575831,0
3,Chevrolet Express Van 2007,0.00017220242,0
3,Aston Martin V8 Vantage Coupe 2012,0.00015359501,0
3,Chevrolet Express Cargo Van 2007,0.0001532164,0
3,BMW X5 SUV 2007,0.00013829136,0
3,Dodge Caravan Minivan 1997,0.00011973188,0
3,Nissan 240SX Coupe 1998,0.00010105394,0
3,Chevrolet Silverado 1500 Classic Extended Cab 2007,9.393365e-05,0
3,Dodge Journey SUV 2012,8.7057546e-05,0
3,Honda Ridgeline 2016,8.6422246e-05,0
3,Ram C/V Cargo Van Minivan 2012,8.636622e-05,0
3,Chevrolet Corvette ZR1 2012,8.241312e-05,0
3,Aston Martin V8 Vantage Convertible 2012,8.0964135e-05,0
3,Audi TTS Coupe 2012,7.6887976e-05,0
3,Ford F-450 Super Duty Crew Cab 2012,7.3015086e-05,0
3,Hyundai Genesis Sedan 2012,7.298578e-05,0
3,Cadillac CTS-V Sedan 2012,7.240751e-05,0
3,Audi RS 4 Convertible 2008,6.998354e-05,0
3,Chevrolet Corvette Ron Fellows Edition Z06 2007,6.898474e-05,0
3,GMC Yukon 2004,6.250734e-05,0
3,Jeep Compass SUV 2012,6.219788e-05,0
3,Chrysler Aspen SUV 2009,6.0923536e-05,0
3,Suzuki Kizashi Sedan 2012,6.0216746e-05,0
3,Subaru Legacy Sedan B4 2010,5.7051657e-05,0
3,Volvo C30 Hatchback 2012,4.7600035e-05,0
3,Audi 100 Wagon 1994,4.3856977e-05,0
3,Scion xD Hatchback 2012,4.243449e-05,0
3,Mitsubishi Lancer Sedan 2012,3.87994e-05,0
3,Mercedes-Benz S-Class Sedan 2012,3.75397e-05,0
3,Lamborghini Diablo Coupe 2001,3.060312e-05,0
3,Acura RL Sedan 2012,3.0287574e-05,0
3,Dodge Durango SUV 2007,2.8755718e-05,0
3,Toyota Tacoma 2010,2.8611692e-05,0
3,Dodge Caliber Wagon 2012,2.7053406e-05,0
3,GMC Savana Van 2012,2.5227564e-05,0
3,Infiniti QX56 SUV 2011,2.5222536e-05,0
3,GMC Canyon Extended Cab 2012,2.5206882e-05,0
3,Ford F-150 Regular Cab 2012,2.4930967e-05,0
3,Chevrolet Silverado 1500 Extended Cab 2012,2.4661531e-05,0
3,BMW M3 Coupe 2012,2.3758936e-05,0
3,Eagle Talon Hatchback 1998,2.3522975e-05,0
3,Infiniti G Coupe IPL 2012,2.3377006e-05,0
3,Hyundai Santa Fe SUV 2012,2.2500624e-05,0
3,Honda Accord Sedan 2012,2.1995984e-05,0
3,Audi TT RS Coupe 2012,2.1580214e-05,0
3,Chevrolet Monte Carlo Coupe 2007,2.046401e-05,0
3,Volkswagen Golf Hatchback 1991,2.0084799e-05,0
3,Ford Expedition EL SUV 2009,1.927692e-05,0
3,HUMMER H3T Crew Cab 2010,1.927534e-05,0
3,Nissan Juke Hatchback 2012,1.9186482e-05,0
3,BMW X6 SUV 2012,1.9064497e-05,0
3,Chevrolet Silverado 1500 Regular Cab 2012,1.7763965e-05,0
3,Chrysler Crossfire Convertible 2008,1.5334686e-05,0
3,Chevrolet Malibu Sedan 2007,1.5189601e-05,0
3,Mazda Tribute SUV 2011,1.3701189e-05,0
3,BMW 3 Series Wagon 2012,1.3241204e-05,0
3,BMW X3 SUV 2012,1.3007641e-05,0
3,Ford E-Series Wagon Van 2012,1.2839067e-05,0
3,Toyota Sequoia SUV 2012,1.2240776e-05,0
3,Audi S5 Coupe 2012,1.200972e-05,0
3,Suzuki Aerio Sedan 2007,1.1655449e-05,0
3,Chevrolet Sonic Sedan 2012,1.1319398e-05,0
3,Chevrolet TrailBlazer SS 2009,1.120869e-05,0
3,Buick Rainier SUV 2007,1.0934109e-05,0
3,Daewoo Nubira Wagon 2002,1.0735137e-05,0
3,BMW 3 Series Sedan 2012,1.0487369e-05,0
3,Maybach Landaulet Convertible 2012,1.04335095e-05,0
3,Land Rover Range Rover SUV 2012,9.772786e-06,0
3,Chevrolet Impala Sedan 2007,9.703495e-06,0
3,Suzuki SX4 Sedan 2012,9.320981e-06,0
3,Lamborghini Gallardo LP 570-4 Superleggera 2012,8.755533e-06,0
3,Audi 100 Sedan 1994,8.666751e-06,0
3,Suzuki SX4 Hatchback 2012,8.548022e-06,0
3,Dodge Dakota Crew Cab 2010,8.274794e-06,0
3,BMW 1 Series Coupe 2012,8.250437e-06,0
3,Chrysler Town and Country Minivan 2012,8.075357e-06,0
3,Buick Regal GS 2012,7.994653e-06,0
3,Volvo XC90 SUV 2007,7.984664e-06,0
3,Hyundai Accent Sedan 2012,7.907287e-06,0
3,Spyker C8 Convertible 2009,7.839462e-06,0
3,Bugatti Veyron 16.4 Coupe 2009,7.739261e-06,0
3,Mercedes-Benz C-Class Sedan 2012,7.668729e-06,0
3,Acura ZDX Hatchback 2012,7.564257e-06,0
3,Lamborghini Aventador Coupe 2012,7.27503e-06,0
3,Fisker Karma Sedan 2012,6.988273e-06,0
3,Dodge Challenger SRT8 2011,6.9156627e-06,0
3,Nissan NV Passenger Van 2012,5.846309e-06,0
3,Dodge Charger Sedan 2012,5.7151287e-06,0
3,Chevrolet Cobalt SS 2010,5.3474914e-06,0
3,Rolls-Royce Ghost Sedan 2012,5.1811976e-06,0
3,Ford GT Coupe 2006,4.779064e-06,0
3,Rolls-Royce Phantom Drophead Coupe Convertible 2012,4.452692e-06,0
3,Audi S6 Sedan 2011,4.37564e-06,0
3,Acura TL Sedan 2012,4.2083043e-06,0
3,Chevrolet HHR SS 2010,4.1470375e-06,0
3,Chrysler 300 SRT-8 2010,4.143203e-06,0
3,Jeep Wrangler SUV 2012,3.9171546e-06,0
3,Jeep Patriot SUV 2012,3.8750127e-06,0
3,Bentley Mulsanne Sedan 2011,3.7182565e-06,0
3,Jeep Liberty SUV 2012,3.7109446e-06,0
3,Ford Focus Sedan 2007,3.6992628e-06,0
3,Hyundai Tucson SUV 2012,3.6661547e-06,0
3,Chevrolet Corvette Convertible 2012,3.6129736e-06,0
3,Hyundai Veloster Hatchback 2012,3.4569327e-06,0
3,Ford F-150 Regular Cab 2007,3.4291475e-06,0
3,Audi TT Hatchback 2011,3.3347753e-06,0
3,Ford Ranger SuperCab 2011,3.2729051e-06,0
3,Bentley Continental Supersports Conv. Convertible 2012,3.2252622e-06,0
3,Rolls-Royce Phantom Sedan 2012,3.1857994e-06,0
3,Spyker C8 Coupe 2009,3.0910442e-06,0
3,Buick Verano Sedan 2012,2.9156386e-06,0
3,Bugatti Veyron 16.4 Convertible 2009,2.9143987e-06,0
3,Chevrolet Silverado 2500HD Regular Cab 2012,2.7763438e-06,0
3,Aston Martin Virage Convertible 2012,2.5806035e-06,0
3,Nissan Leaf Hatchback 2012,2.418159e-06,0
3,BMW 6 Series Convertible 2007,2.2786369e-06,0
3,Hyundai Sonata Sedan 2012,2.1570697e-06,0
3,McLaren MP4-12C Coupe 2012,2.154399e-06,0
3,Mercedes-Benz SL-Class Coupe 2009,2.0780471e-06,0
3,BMW Z4 Convertible 2012,2.0369332e-06,0
3,AM General Hummer SUV 2000,1.9907118e-06,0
3,Bentley Continental GT Coupe 2012,1.7905961e-06,0
3,Jaguar XK XKR 2012,1.7493223e-06,0
3,FIAT 500 Convertible 2012,1.7487484e-06,0
3,Hyundai Azera Sedan 2012,1.6453937e-06,0
3,Audi S5 Convertible 2012,1.5649449e-06,0
3,Bentley Continental Flying Spur Sedan 2007,1.5336096e-06,0
3,Hyundai Elantra Sedan 2007,1.5047287e-06,0
3,Acura Integra Type R 2001,1.3763363e-06,0
3,Ferrari FF Coupe 2012,1.3369889e-06,0
3,Geo Metro Convertible 1993,1.2363287e-06,0
3,Audi S4 Sedan 2012,1.2278018e-06,0
3,Audi S4 Sedan 2007,1.1635275e-06,0
3,Buick Enclave SUV 2012,1.1545026e-06,0
3,Bentley Continental GT Coupe 2007,1.1160313e-06,0
3,Chrysler Sebring Convertible 2010,1.066515e-06,0
3,Audi A5 Coupe 2012,1.0333115e-06,0
3,Audi V8 Sedan 1994,1.0321198e-06,0
3,BMW M5 Sedan 2010,1.0034253e-06,0
3,Hyundai Veracruz SUV 2012,9.917766e-07,0
3,BMW 1 Series Convertible 2012,9.091e-07,0
3,Volvo 240 Sedan 1993,8.899814e-07,0
3,Toyota Camry Sedan 2012,8.3906104e-07,0
3,Porsche Panamera Sedan 2012,8.1383786e-07,0
3,Lamborghini Reventon Coupe 2008,7.6892e-07,0
3,Mercedes-Benz E-Class Sedan 2012,6.819326e-07,0
3,FIAT 500 Abarth 2012,6.5503934e-07,0
3,Mercedes-Benz Sprinter Van 2012,6.429379e-07,0
3,Chrysler PT Cruiser Convertible 2008,6.275395e-07,0
3,Bentley Arnage Sedan 2009,5.807391e-07,0
3,Hyundai Sonata Hybrid Sedan 2012,5.5866235e-07,0
3,Mercedes-Benz 300-Class Convertible 1993,3.4387574e-07,0
3,Dodge Caliber Wagon 2007,3.3859675e-07,0
3,Plymouth Neon Coupe 1999,3.3061409e-07,0
3,Ferrari 458 Italia Convertible 2012,3.057488e-07,0
3,Aston Martin Virage Coupe 2012,2.9035942e-07,0
3,BMW ActiveHybrid 5 Sedan 2012,2.873669e-07,0
3,Tesla Model S Sedan 2012,1.8172585e-07,0
3,Ferrari California Convertible 2012,1.6817059e-07,0
3,Volkswagen Beetle Hatchback 2012,1.5555241e-07,0
3,Lincoln Town Car Sedan 2011,1.3200705e-07,0
3,Dodge Ram Pickup 3500 Quad Cab 2009,1.2741094e-07,0
3,Honda Odyssey Minivan 2012,5.8080413e-08,0
3,Dodge Ram Pickup 3500 Crew Cab 2010,4.834886e-08,0
3,BMW M6 Convertible 2010,3.593037e-08,0
3,Dodge Dakota Club Cab 2007,4.4640203e-09,0
8,Chevrolet Camaro Convertible 2012,0.16166034,0
8,Chevrolet Traverse SUV 2012,0.14871496,0
8,Ford Edge SUV 2012,0.11250807,0
8,Chevrolet Avalanche Crew Cab 2012,0.11101089,0
8,Honda Accord Coupe 2012,0.07775245,0
8,Ford Explorer 2018,0.06864153,0
8,Jeep Grand Cherokee SUV 2012,0.042556502,0
8,Dodge Sprinter Cargo Van 2009,0.042346083,0
8,Ford Mustang Convertible 2007,0.037886743,0
8,Acura TSX Sedan 2012,0.027732637,0
8,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.021652162,0
8,Chevrolet Tahoe Hybrid SUV 2012,0.018191716,0
8,Chevrolet Silverado 1500 Classic Extended Cab 2007,0.016572641,0
8,Chevrolet Express Van 2007,0.014488583,0
8,HUMMER H2 SUT Crew Cab 2009,0.008323807,0
8,Ferrari 458 Italia Coupe 2012,0.008079602,0
8,Dodge Charger SRT-8 2009,0.008016509,0
8,Chevrolet Express Cargo Van 2007,0.006172628,0
8,Acura TL Type-S 2008,0.0061256704,0
8,Toyota 4Runner SUV 2012,0.005851882,0
8,Aston Martin V8 Vantage Convertible 2012,0.003427829,0
8,Dodge Magnum Wagon 2008,0.0031241497,0
8,Nissan 240SX Coupe 1998,0.0020389964,0
8,Chevrolet Silverado 1500 Extended Cab 2012,0.0019219961,0
8,Cadillac Escalade EXT Crew Cab 2007,0.0018690927,0
8,smart fortwo Convertible 2012,0.0017348924,0
8,Cadillac SRX SUV 2012,0.0016885435,0
8,Volkswagen Golf Hatchback 2012,0.0015624996,0
8,MINI Cooper Roadster Convertible 2012,0.0015423546,0
8,Ford Fiesta Sedan 2012,0.0014509475,0
8,Honda CRV 2012,0.001369071,0
8,Fisker Karma Sedan 2012,0.0012877494,0
8,Ford F-450 Super Duty Crew Cab 2012,0.0012811286,0
8,Toyota Corolla Sedan 2012,0.0012693125,0
8,Ford F-150 Regular Cab 2012,0.0011750367,0
8,Cadillac CTS-V Sedan 2012,0.0011385507,0
8,Acura TL Sedan 2012,0.001117337,0
8,Ford Freestar Minivan 2007,0.0010697397,0
8,Chevrolet Corvette ZR1 2012,0.0010609651,0
8,Dodge Journey SUV 2012,0.00089370506,0
8,Isuzu Ascender SUV 2008,0.0008478344,0
8,Audi R8 Coupe 2012,0.0008281083,0
8,Infiniti G Coupe IPL 2012,0.0008135989,0
8,Ford Expedition 2017,0.0007875619,0
8,Dodge Caravan Minivan 1997,0.0006543395,0
8,Scion xD Hatchback 2012,0.00063050666,0
8,Dodge Durango SUV 2012,0.0006208526,0
8,Hyundai Santa Fe SUV 2012,0.00058476394,0
8,Honda Ridgeline 2016,0.0005766233,0
8,Infiniti QX56 SUV 2011,0.0005567341,0
8,Ram C/V Cargo Van Minivan 2012,0.0005453573,0
8,BMW Z4 Convertible 2012,0.00052694493,0
8,Chevrolet Silverado 2500HD Regular Cab 2012,0.00052281655,0
8,Acura ZDX Hatchback 2012,0.00045261433,0
8,Audi TTS Coupe 2012,0.00043120995,0
8,Land Rover LR2 SUV 2012,0.00040221697,0
8,Chevrolet Corvette Ron Fellows Edition Z06 2007,0.0004000733,0
8,Honda Odyssey Minivan 2007,0.00038798165,0
8,Buick Verano Sedan 2012,0.0003852174,0
8,Ferrari 458 Italia Convertible 2012,0.0003501155,0
8,BMW X6 SUV 2012,0.000349649,0
8,Aston Martin V8 Vantage Coupe 2012,0.00034514218,0
8,Chevrolet TrailBlazer SS 2009,0.00034270962,0
8,Mazda Tribute SUV 2011,0.0003416805,0
8,Suzuki Kizashi Sedan 2012,0.00032716306,0
8,GMC Yukon Hybrid SUV 2012,0.00032550722,0
8,Chevrolet Malibu Hybrid Sedan 2010,0.00031886843,0
8,Chevrolet Monte Carlo Coupe 2007,0.00031570252,0
8,Chevrolet Impala Sedan 2007,0.00030382088,0
8,BMW X5 SUV 2007,0.0002873116,0
8,Acura RL Sedan 2012,0.00027077866,0
8,Chrysler Aspen SUV 2009,0.00026430233,0
8,Buick Regal GS 2012,0.00025371823,0
8,Aston Martin Virage Convertible 2012,0.00024984524,0
8,HUMMER H3T Crew Cab 2010,0.00023846742,0
8,Jaguar XK XKR 2012,0.00023534891,0
8,Hyundai Veloster Hatchback 2012,0.0002314687,0
8,BMW M3 Coupe 2012,0.00021841677,0
8,Audi RS 4 Convertible 2008,0.00021779971,0
8,Honda Accord Sedan 2012,0.00021689691,0
8,AM General Hummer SUV 2000,0.00021481265,0
8,Dodge Challenger SRT8 2011,0.00021206496,0
8,Chevrolet Corvette Convertible 2012,0.0002102267,0
8,Dodge Durango SUV 2007,0.00019449933,0
8,Chrysler Crossfire Convertible 2008,0.00018963362,0
8,Eagle Talon Hatchback 1998,0.00018727871,0
8,Subaru Legacy Sedan B4 2010,0.00018040939,0
8,Geo Metro Convertible 1993,0.00017975994,0
8,Audi TT RS Coupe 2012,0.00017925278,0
8,Toyota Tacoma 2010,0.0001760225,0
8,Hyundai Genesis Sedan 2012,0.00016009664,0
8,Ferrari FF Coupe 2012,0.00015866791,0
8,Nissan Juke Hatchback 2012,0.0001512007,0
8,Hyundai Tucson SUV 2012,0.00014510396,0
8,Ford Expedition EL SUV 2009,0.00014365051,0
8,Hyundai Accent Sedan 2012,0.0001285551,0
8,Audi 100 Wagon 1994,0.00012795907,0
8,Mercedes-Benz C-Class Sedan 2012,0.00012783599,0
8,BMW 6 Series Convertible 2007,0.00011807487,0
8,Ford GT Coupe 2006,0.000112301546,0
8,Lamborghini Aventador Coupe 2012,0.00010621612,0
8,Ford E-Series Wagon Van 2012,0.00010137363,0
8,Audi 100 Sedan 1994,9.990822e-05,0
8,GMC Savana Van 2012,9.757783e-05,0
8,Chevrolet Malibu Sedan 2007,8.9003326e-05,0
8,Dodge Caliber Wagon 2012,8.837826e-05,0
8,GMC Terrain SUV 2012,8.622653e-05,0
8,Mercedes-Benz SL-Class Coupe 2009,8.4353494e-05,0
8,Dodge Dakota Crew Cab 2010,8.178402e-05,0
8,Rolls-Royce Phantom Drophead Coupe Convertible 2012,8.082643e-05,0
8,Chevrolet Cobalt SS 2010,7.954946e-05,0
8,GMC Canyon Extended Cab 2012,7.9320795e-05,0
8,GMC Yukon 2004,7.238211e-05,0
8,Lamborghini Diablo Coupe 2001,7.232421e-05,0
8,Chevrolet Silverado 1500 Regular Cab 2012,7.0677364e-05,0
8,Chevrolet HHR SS 2010,6.990706e-05,0
8,Buick Rainier SUV 2007,6.8939524e-05,0
8,Mercedes-Benz S-Class Sedan 2012,6.4950786e-05,0
8,McLaren MP4-12C Coupe 2012,6.4743916e-05,0
8,Suzuki SX4 Hatchback 2012,6.3053005e-05,0
8,Maybach Landaulet Convertible 2012,6.271322e-05,0
8,GMC Acadia SUV 2012,6.2340856e-05,0
8,Bentley Continental Supersports Conv. Convertible 2012,6.191622e-05,0
8,Suzuki SX4 Sedan 2012,6.087908e-05,0
8,Land Rover Range Rover SUV 2012,5.935587e-05,0
8,Spyker C8 Convertible 2009,5.642793e-05,0
8,Jeep Compass SUV 2012,5.6106586e-05,0
8,Audi S5 Coupe 2012,5.055165e-05,0
8,Volvo XC90 SUV 2007,5.037234e-05,0
8,Bentley Continental GT Coupe 2012,4.9132315e-05,0
8,Mercedes-Benz Sprinter Van 2012,4.8804995e-05,0
8,BMW 1 Series Convertible 2012,4.754149e-05,0
8,Mitsubishi Lancer Sedan 2012,4.610042e-05,0
8,Volvo C30 Hatchback 2012,4.5791465e-05,0
8,Nissan NV Passenger Van 2012,4.3213848e-05,0
8,Hyundai Sonata Sedan 2012,4.1110667e-05,0
8,Mercedes-Benz 300-Class Convertible 1993,3.8726113e-05,0
8,BMW 1 Series Coupe 2012,3.6698348e-05,0
8,Audi S5 Convertible 2012,3.5245637e-05,0
8,Toyota Sequoia SUV 2012,3.4043478e-05,0
8,Audi V8 Sedan 1994,3.3588254e-05,0
8,Nissan Leaf Hatchback 2012,3.179781e-05,0
8,Hyundai Elantra Touring Hatchback 2012,3.1015687e-05,0
