Frame Number,Vehicle Make,Probability,Object ID
1,Chevrolet Avalanche Crew Cab 2012,0.17861177,0
1,Jeep Grand Cherokee SUV 2012,0.08899772,0
1,Dodge Sprinter Cargo Van 2009,0.083897755,0
1,Chevrolet Silverado 1500 Classic Extended Cab 2007,0.052104156,0
1,Dodge Durango SUV 2007,0.05084242,0
1,Chevrolet Tahoe Hybrid SUV 2012,0.038597576,0
1,Chevrolet Camaro Convertible 2012,0.035880607,0
1,Dodge Durango SUV 2012,0.027847206,0
1,Isuzu Ascender SUV 2008,0.023927694,0
1,GMC Savana Van 2012,0.021192236,0
1,GMC Yukon 2004,0.017727513,0
1,Audi 100 Wagon 1994,0.014371068,0
1,Dodge Dakota Crew Cab 2010,0.013690823,0
1,Chevrolet Express Van 2007,0.013253425,0
1,Chevrolet Traverse SUV 2012,0.013109388,0
1,Honda Accord Coupe 2012,0.012835665,0
1,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.012022644,0
1,Ford Explorer 2018,0.011975042,0
1,Audi S5 Coupe 2012,0.010584789,0
1,Ford Mustang Convertible 2007,0.01024915,0
1,Cadillac SRX SUV 2012,0.010170265,0
1,GMC Terrain SUV 2012,0.010133775,0
1,Volkswagen Golf Hatchback 1991,0.009022542,0
1,Audi TTS Coupe 2012,0.008242428,0
1,Honda CRV 2012,0.007930949,0
1,Dodge Magnum Wagon 2008,0.0077997595,0
1,Toyota 4Runner SUV 2012,0.007204032,0
1,Honda Odyssey Minivan 2007,0.006775253,0
1,Ford F-450 Super Duty Crew Cab 2012,0.006198275,0
1,Cadillac CTS-V Sedan 2012,0.0059618577,0
1,Dodge Charger SRT-8 2009,0.0059140394,0
1,Ford E-Series Wagon Van 2012,0.005726517,0
1,AM General Hummer SUV 2000,0.0056996485,0
1,Volkswagen Golf Hatchback 2012,0.0055314684,0
1,Audi R8 Coupe 2012,0.0052179303,0
1,BMW X5 SUV 2007,0.0049842778,0
1,Audi RS 4 Convertible 2008,0.0047614304,0
1,Aston Martin V8 Vantage Convertible 2012,0.004748807,0
1,Ford Expedition 2017,0.0045083542,0
1,Ford Freestar Minivan 2007,0.0043194625,0
1,Dodge Journey SUV 2012,0.0039991084,0
1,Acura TL Type-S 2008,0.0038702986,0
1,Cadillac Escalade EXT Crew Cab 2007,0.0038238503,0
1,Nissan 240SX Coupe 1998,0.0037890386,0
1,Infiniti G Coupe IPL 2012,0.003529428,0
1,HUMMER H3T Crew Cab 2010,0.0033430404,0
1,HUMMER H2 SUT Crew Cab 2009,0.0033202376,0
1,Lamborghini Aventador Coupe 2012,0.0032849412,0
1,Ford Fiesta Sedan 2012,0.0032442065,0
1,Dodge Caliber Wagon 2012,0.0032228366,0
1,Chevrolet Malibu Hybrid Sedan 2010,0.0024426247,0
1,BMW 3 Series Sedan 2012,0.0024334625,0
1,Mercedes-Benz S-Class Sedan 2012,0.0023863635,0
1,Chrysler Aspen SUV 2009,0.0023249523,0
1,MINI Cooper Roadster Convertible 2012,0.0021756815,0
1,Honda Ridgeline 2016,0.0021441232,0
1,Ford F-150 Regular Cab 2012,0.0020359263,0
1,Lamborghini Gallardo LP 570-4 Superleggera 2012,0.0019792847,0
1,Ram C/V Cargo Van Minivan 2012,0.0019130848,0
1,Chevrolet Corvette Convertible 2012,0.0018466996,0
1,Buick Verano Sedan 2012,0.0018436536,0
1,Infiniti QX56 SUV 2011,0.0017987139,0
1,Jeep Compass SUV 2012,0.0017983033,0
